Tournament, Gender, Date,Round,Player 1,Player 2,Score,Winner
Cambridge Group of Clubs Classic 2024,Men's,-,Round 1,Tom Walsh,BYE,"---, ---, ---, ---, ---, ---",BYE
Cambridge Group of Clubs Classic 2024,Men's,27 Oct 2024 • 12:00,Round 1,Bryan Lim,Finnlay Withington,"3-0, 11-6, 11-8, 11-4, ---, ---",Bryan Lim
Cambridge Group of Clubs Classic 2024,Men's,27 Oct 2024 • 12:45,Round 1,Veer Chotrani,Liam Marrison,"3-0, 11-8, 11-8, 11-8, ---, ---",Veer Chotrani
Cambridge Group of Clubs Classic 2024,Men's,-,Round 1,BYE,Leonel Cardenas,"---, ---, ---, ---, ---, ---",Leonel Cardenas
China Open 2024,Men's,03 Nov 2024 • 19:45,Final,Mohamed Elshorbagy,Mohamed Abouelghar,"3-1, 11-6, 12-14, 11-7, 11-9, ---",Mohamed Elshorbagy
China Open 2024,Men's,02 Nov 2024 • 19:15,Semi final,Mohamed Elshorbagy,Iker Pajares,"3-1, 11-7, 11-7, 7-11, 11-3, ---",Mohamed Elshorbagy
China Open 2024,Men's,02 Nov 2024 • 21:00,Semi final,Eain Yow Ng,Mohamed Abouelghar,"1-3, 7-11, 8-11, 11-6, 6-11, ---",Mohamed Abouelghar
China Open 2024,Men's,01 Nov 2024 • 15:30,Quarter final,Mohamed Elshorbagy,Alex Lau,"3-1, 8-11, 11-2, 14-12, 11-5, ---",Mohamed Elshorbagy
China Open 2024,Men's,01 Nov 2024 • 16:15,Quarter final,Iker Pajares,Fares Dessouky,"3-2, 11-9, 4-11, 11-6, 2-11, 11-9",Iker Pajares
China Open 2024,Men's,01 Nov 2024 • 19:30,Quarter final,Eain Yow Ng,Mohamad Zakaria,"3-1, 9-11, 11-5, 11-9, 11-2, ---",Eain Yow Ng
China Open 2024,Men's,01 Nov 2024 • 20:15,Quarter final,Mohamed Abouelghar,Marwan Elshorbagy,"3-0, 11-3, 11-8, 11-2, ---, ---",Mohamed Abouelghar
China Open 2024,Men's,31 Oct 2024 • 15:30,Round 2,Mohamed Elshorbagy,Omar Mosaad,"3-1, 11-6, 11-8, 7-11, 11-8, ---",Mohamed Elshorbagy
China Open 2024,Men's,31 Oct 2024 • 15:30,Round 2,Alex Lau,Nicolas Mueller,"3-2, 12-10, 7-11, 11-13, 12-10, 11-7",Alex Lau
China Open 2024,Men's,31 Oct 2024 • 16:15,Round 2,Iker Pajares,Simon Herbert,"3-1, 11-7, 11-2, 5-11, 11-7, ---",Iker Pajares
China Open 2024,Men's,31 Oct 2024 • 16:15,Round 2,Jonah Bryant,Fares Dessouky,"0-3, 7-11, 3-11, 9-11, ---, ---",Fares Dessouky
China Open 2024,Men's,31 Oct 2024 • 19:30,Round 2,Eain Yow Ng,Yahya Elnawasany,"3-1, 11-4, 7-11, 11-5, 11-2, ---",Eain Yow Ng
China Open 2024,Men's,31 Oct 2024 • 19:30,Round 2,Mohamad Zakaria,Dimitri Steinmann,"3-0, 11-7, 11-8, 11-5, ---, ---",Mohamad Zakaria
China Open 2024,Men's,31 Oct 2024 • 20:15,Round 2,Curtis Malik,Mohamed Abouelghar,"0-3, 7-11, 3-11, 6-11, ---, ---",Mohamed Abouelghar
China Open 2024,Men's,31 Oct 2024 • 20:15,Round 2,Henry Leung,Marwan Elshorbagy,"1-3, 6-11, 5-11, 11-6, 9-11, ---",Marwan Elshorbagy
China Open 2024,Men's,-,Round 1,Mohamed Elshorbagy,BYE,"---, ---, ---, ---, ---, ---",BYE
China Open 2024,Men's,30 Oct 2024 • 19:15,Round 1,Zhou Penglin,Omar Mosaad,"0-3, 6-11, 7-11, 9-11, ---, ---",Omar Mosaad
China Open 2024,Men's,30 Oct 2024 • 19:15,Round 1,Alex Lau,Ryunosuke Tsukue,"3-1, 7-11, 11-3, 11-5, 12-10, ---",Alex Lau
China Open 2024,Men's,-,Round 1,BYE,Nicolas Mueller,"---, ---, ---, ---, ---, ---",Nicolas Mueller
China Open 2024,Men's,-,Round 1,Iker Pajares,BYE,"---, ---, ---, ---, ---, ---",BYE
China Open 2024,Men's,30 Oct 2024 • 19:15,Round 1,Simon Herbert,Bernat Jaume,"3-2, 7-11, 11-7, 4-11, 11-9, 11-7",Simon Herbert
China Open 2024,Men's,30 Oct 2024 • 19:15,Round 1,Balazs Farkas,Jonah Bryant,"0-3, 12-14, 3-11, 10-12, ---, ---",Jonah Bryant
China Open 2024,Men's,-,Round 1,BYE,Fares Dessouky,"---, ---, ---, ---, ---, ---",Fares Dessouky
China Open 2024,Men's,-,Round 1,Eain Yow Ng,BYE,"---, ---, ---, ---, ---, ---",BYE
China Open 2024,Men's,30 Oct 2024 • 21:00,Round 1,Yannick Wilhelmi,Yahya Elnawasany,"2-3, 11-7, 6-11, 11-13, 11-3, 9-11",Yahya Elnawasany
China Open 2024,Men's,30 Oct 2024 • 21:00,Round 1,Mohamad Zakaria,Li Hai Zhen,"3-0, 11-1, 11-6, 11-6, ---, ---",Mohamad Zakaria
China Open 2024,Men's,-,Round 1,BYE,Dimitri Steinmann,"---, ---, ---, ---, ---, ---",Dimitri Steinmann
China Open 2024,Men's,-,Round 1,Curtis Malik,BYE,"---, ---, ---, ---, ---, ---",BYE
China Open 2024,Men's,30 Oct 2024 • 21:00,Round 1,Matthew Lai,Mohamed Abouelghar,"0-3, 4-11, 8-11, 4-11, ---, ---",Mohamed Abouelghar
China Open 2024,Men's,30 Oct 2024 • 21:00,Round 1,Henry Leung,Addeen Idrakie,"3-2, 11-2, 8-11, 6-11, 11-6, 11-7",Henry Leung
China Open 2024,Men's,-,Round 1,BYE,Marwan Elshorbagy,"---, ---, ---, ---, ---, ---",Marwan Elshorbagy
China Open 2024,Women's,03 Nov 2024 • 19:00,Final,Rachel Arnold,Farida Mohamed,"3-0, 11-5, 11-8, 11-8, ---, ---",Rachel Arnold
China Open 2024,Women's,02 Nov 2024 • 18:30,Semi final,Rachel Arnold,Aira Azman,"3-0, 11-7, 11-9, 11-7, ---, ---",Rachel Arnold
China Open 2024,Women's,02 Nov 2024 • 20:15,Semi final,Farida Mohamed,Sivasangari Subramaniam,"3-2, 6-11, 4-11, 12-10, 11-8, 11-9",Farida Mohamed
China Open 2024,Women's,01 Nov 2024 • 14:00,Quarter final,Rowan Elaraby,Rachel Arnold,"1-3, 11-9, 8-11, 9-11, 9-11, ---",Rachel Arnold
China Open 2024,Women's,01 Nov 2024 • 14:45,Quarter final,Aira Azman,Sana Ibrahim,"3-2, 2-11, 9-11, 14-12, 11-3, 11-6",Aira Azman
China Open 2024,Women's,01 Nov 2024 • 18:00,Quarter final,Farida Mohamed,Tomato Ho,"3-1, 12-10, 11-4, 7-11, 11-9, ---",Farida Mohamed
China Open 2024,Women's,01 Nov 2024 • 18:45,Quarter final,Georgia Adderley,Sivasangari Subramaniam,"1-3, 9-11, 9-11, 11-6, 9-11, ---",Sivasangari Subramaniam
China Open 2024,Women's,31 Oct 2024 • 14:00,Round 2,Rowan Elaraby,Nour Aboulmakarim,"3-0, 11-2, 11-1, 11-7, ---, ---",Rowan Elaraby
China Open 2024,Women's,31 Oct 2024 • 14:00,Round 2,Joelle King,Rachel Arnold,"0-3, 8-11, 6-11, 4-11, ---, ---",Rachel Arnold
China Open 2024,Women's,31 Oct 2024 • 14:45,Round 2,Aira Azman,Salma Eltayeb,"3-1, 10-12, 11-4, 11-6, 11-5, ---",Aira Azman
China Open 2024,Women's,31 Oct 2024 • 14:45,Round 2,Ka Yi Lee,Sana Ibrahim,"0-3, 6-11, 8-11, 10-12, ---, ---",Sana Ibrahim
China Open 2024,Women's,31 Oct 2024 • 18:00,Round 2,Farida Mohamed,Tsz-Wing Tong,"3-1, 11-4, 6-11, 11-7, 11-2, ---",Farida Mohamed
China Open 2024,Women's,31 Oct 2024 • 18:00,Round 2,Torrie Malik,Tomato Ho,"0-3, 7-11, 5-11, 7-11, ---, ---",Tomato Ho
China Open 2024,Women's,31 Oct 2024 • 18:45,Round 2,Georgia Adderley,Nadine Shahin,"3-0, 11-6, 11-5, 11-6, ---, ---",Georgia Adderley
China Open 2024,Women's,31 Oct 2024 • 18:45,Round 2,Ainaa Amani,Sivasangari Subramaniam,"0-3, 6-11, 13-15, 9-11, ---, ---",Sivasangari Subramaniam
China Open 2024,Women's,-,Round 1,Rowan Elaraby,BYE,"---, ---, ---, ---, ---, ---",BYE
China Open 2024,Women's,30 Oct 2024 • 18:30,Round 1,Sehveetrraa Kumar,Nour Aboulmakarim,"0-3, 5-11, 9-11, 6-11, ---, ---",Nour Aboulmakarim
China Open 2024,Women's,30 Oct 2024 • 18:30,Round 1,Aifa Azman,Joelle King,"2-3, 11-9, 7-11, 8-11, 11-3, 13-15",Joelle King
China Open 2024,Women's,-,Round 1,BYE,Rachel Arnold,"---, ---, ---, ---, ---, ---",Rachel Arnold
China Open 2024,Women's,-,Round 1,Aira Azman,BYE,"---, ---, ---, ---, ---, ---",BYE
China Open 2024,Women's,30 Oct 2024 • 18:30,Round 1,Nga Ching Cheng,Salma Eltayeb,"0-3, 5-11, 8-11, 8-11, ---, ---",Salma Eltayeb
China Open 2024,Women's,30 Oct 2024 • 18:30,Round 1,Ka Yi Lee,Alex Haydon,"3-0, 11-5, 11-6, 11-6, ---, ---",Ka Yi Lee
China Open 2024,Women's,-,Round 1,BYE,Sana Ibrahim,"---, ---, ---, ---, ---, ---",Sana Ibrahim
China Open 2024,Women's,-,Round 1,Farida Mohamed,BYE,"---, ---, ---, ---, ---, ---",BYE
China Open 2024,Women's,30 Oct 2024 • 20:15,Round 1,Jessica van der Walt,Tsz-Wing Tong,"1-3, 10-12, 15-13, 5-11, 10-12, ---",Tsz-Wing Tong
China Open 2024,Women's,30 Oct 2024 • 20:15,Round 1,Torrie Malik,Linglu Cheng,"3-0, 11-1, 11-1, 11-4, ---, ---",Torrie Malik
China Open 2024,Women's,-,Round 1,BYE,Tomato Ho,"---, ---, ---, ---, ---, ---",Tomato Ho
China Open 2024,Women's,-,Round 1,Georgia Adderley,BYE,"---, ---, ---, ---, ---, ---",BYE
China Open 2024,Women's,30 Oct 2024 • 20:15,Round 1,Ziyi Liu,Nadine Shahin,"0-3, 4-11, 4-11, 9-11, ---, ---",Nadine Shahin
China Open 2024,Women's,30 Oct 2024 • 20:15,Round 1,Ainaa Amani,Amina El Rihany,"3-1, 9-11, 12-10, 11-7, 11-6, ---",Ainaa Amani
China Open 2024,Women's,30 Sep 2024 • 00:00,Round 1,BYE,Sivasangari Subramaniam,"---, ---, ---, ---, ---, ---",Sivasangari Subramaniam
Monit Czech Open 2024,Men's,04 Nov 2024 • 17:45,Final,Sebastien Bonmalais,Declan James,"3-1, 11-8, 5-11, 11-4, 11-6, ---",Sebastien Bonmalais
Monit Czech Open 2024,Men's,03 Nov 2024 • 16:00,Semi final,Sebastien Bonmalais,George Parker,"3-2, 9-11, 6-11, 11-9, 11-5, 11-2",Sebastien Bonmalais
Monit Czech Open 2024,Men's,03 Nov 2024 • 16:55,Semi final,Auguste Dussourd,Declan James,"0-3, 10-12, 9-11, 7-11, ---, ---",Declan James
Monit Czech Open 2024,Men's,02 Nov 2024 • 13:00,Quarter final,Sebastien Bonmalais,Rui Soares,"3-1, 11-4, 8-11, 11-2, 11-9, ---",Sebastien Bonmalais
Monit Czech Open 2024,Men's,02 Nov 2024 • 13:55,Quarter final,George Parker,Juan Vargas,"3-1, 9-11, 11-6, 11-8, 11-3, ---",George Parker
Monit Czech Open 2024,Men's,02 Nov 2024 • 16:55,Quarter final,Auguste Dussourd,Rory Stewart,"3-2, 11-13, 9-11, 11-4, 11-9, 11-7",Auguste Dussourd
Monit Czech Open 2024,Men's,02 Nov 2024 • 15:35,Quarter final,Declan James,Raphael Kandra,"3-2, 11-7, 11-13, 7-11, 11-5, 11-7",Declan James
Monit Czech Open 2024,Men's,01 Nov 2024 • 16:05,Round 2,Sebastien Bonmalais,Sanjay Jeeva,"3-1, 11-6, 9-11, 11-6, 11-6, ---",Sebastien Bonmalais
Monit Czech Open 2024,Men's,01 Nov 2024 • 14:25,Round 2,Jakub Solnicky,Rui Soares,"1-3, 3-11, 12-10, 12-14, 5-11, ---",Rui Soares
Monit Czech Open 2024,Men's,01 Nov 2024 • 13:30,Round 2,George Parker,Mohammad Syafiq Kamal,"3-0, 11-7, 11-8, 13-11, ---, ---",George Parker
Monit Czech Open 2024,Men's,01 Nov 2024 • 18:55,Round 2,Daniel Mekbib,Juan Vargas,"0-3, 7-11, 4-11, 6-11, ---, ---",Juan Vargas
Monit Czech Open 2024,Men's,01 Nov 2024 • 19:50,Round 2,Auguste Dussourd,Yannik Omlor,"3-2, 11-6, 11-9, 5-11, 10-12, 11-7",Auguste Dussourd
Monit Czech Open 2024,Men's,01 Nov 2024 • 16:15,Round 2,Ben Smith,Rory Stewart,"1-3, 19-21, 12-10, 3-11, 3-11, ---",Rory Stewart
Monit Czech Open 2024,Men's,01 Nov 2024 • 13:30,Round 2,Declan James,Lucas Serme,"3-0, 11-9, 11-5, 11-6, ---, ---",Declan James
Monit Czech Open 2024,Men's,01 Nov 2024 • 17:15,Round 2,Martin Svec,Raphael Kandra,"0-3, 5-11, 6-11, 5-11, ---, ---",Raphael Kandra
Monit Czech Open 2024,Men's,-,Round 1,Sebastien Bonmalais,BYE,"---, ---, ---, ---, ---, ---",BYE
Monit Czech Open 2024,Men's,31 Oct 2024 • 16:05,Round 1,Aqeel Rehman,Sanjay Jeeva,"0-3, 9-11, 7-11, 10-12, ---, ---",Sanjay Jeeva
Monit Czech Open 2024,Men's,31 Oct 2024 • 19:50,Round 1,Kareem El Torkey,Jakub Solnicky,"RET-, 11-4, 7-11, 1-11, 0-2, ---",Jakub Solnicky
Monit Czech Open 2024,Men's,-,Round 1,BYE,Rui Soares,"---, ---, ---, ---, ---, ---",Rui Soares
Monit Czech Open 2024,Men's,-,Round 1,George Parker,BYE,"---, ---, ---, ---, ---, ---",BYE
Monit Czech Open 2024,Men's,31 Oct 2024 • 14:25,Round 1,Mohammad Syafiq Kamal,Perry Malik,"3-2, 5-11, 12-10, 11-9, 5-11, 13-11",Mohammad Syafiq Kamal
Monit Czech Open 2024,Men's,31 Oct 2024 • 18:10,Round 1,Mazen Gamal,Daniel Mekbib,"0-3, 5-11, 9-11, 5-11, ---, ---",Daniel Mekbib
Monit Czech Open 2024,Men's,-,Round 1,BYE,Juan Vargas,"---, ---, ---, ---, ---, ---",Juan Vargas
Monit Czech Open 2024,Men's,-,Round 1,Auguste Dussourd,BYE,"---, ---, ---, ---, ---, ---",BYE
Monit Czech Open 2024,Men's,31 Oct 2024 • 13:30,Round 1,Mohamed Nasser,Yannik Omlor,"2-3, 9-11, 11-8, 7-11, 12-10, 11-13",Yannik Omlor
Monit Czech Open 2024,Men's,31 Oct 2024 • 13:30,Round 1,Ben Smith,Lwamba Chileshe,"3-0, 11-7, 11-1, 11-3, ---, ---",Ben Smith
Monit Czech Open 2024,Men's,-,Round 1,BYE,Rory Stewart,"---, ---, ---, ---, ---, ---",Rory Stewart
Monit Czech Open 2024,Men's,-,Round 1,Declan James,BYE,"---, ---, ---, ---, ---, ---",BYE
Monit Czech Open 2024,Men's,31 Oct 2024 • 16:15,Round 1,David Zeman,Lucas Serme,"0-3, 6-11, 3-11, 10-12, ---, ---",Lucas Serme
Monit Czech Open 2024,Men's,31 Oct 2024 • 17:15,Round 1,Martin Svec,Ondrej Vorlicek,"3-0, 11-6, 11-2, 11-4, ---, ---",Martin Svec
Monit Czech Open 2024,Men's,-,Round 1,BYE,Raphael Kandra,"---, ---, ---, ---, ---, ---",Raphael Kandra
Monit Czech Open 2024,Women's,04 Nov 2024 • 17:00,Final,Nour Megahed,Ching Hei Fung,"3-0, 11-8, 11-9, 11-3, ---, ---",Nour Megahed
Monit Czech Open 2024,Women's,03 Nov 2024 • 14:30,Semi final,Toby Tse,Nour Megahed,"2-3, 11-9, 13-11, 2-11, 6-11, 7-11",Nour Megahed
Monit Czech Open 2024,Women's,03 Nov 2024 • 15:15,Semi final,Ching Hei Fung,Jacqueline Peychär,"3-0, 11-6, 11-8, 11-6, ---, ---",Ching Hei Fung
Monit Czech Open 2024,Women's,02 Nov 2024 • 12:15,Quarter final,Sofi Zrazhevska,Toby Tse,"1-3, 11-8, 7-11, 8-11, 7-11, ---",Toby Tse
Monit Czech Open 2024,Women's,02 Nov 2024 • 14:50,Quarter final,Katerina Tycova,Nour Megahed,"1-3, 11-5, 5-11, 3-11, 5-11, ---",Nour Megahed
Monit Czech Open 2024,Women's,02 Nov 2024 • 17:55,Quarter final,Lauren Baltayan,Ching Hei Fung,"2-3, 11-13, 5-11, 11-6, 11-9, 8-11",Ching Hei Fung
Monit Czech Open 2024,Women's,02 Nov 2024 • 18:40,Quarter final,Jacqueline Peychär,Lojayn Gohary,"3-1, 11-9, 7-11, 11-1, 11-8, ---",Jacqueline Peychär
Monit Czech Open 2024,Women's,01 Nov 2024 • 12:00,Round 2,Anna Serme,Sofi Zrazhevska,"0-3, 10-12, 6-11, 8-11, ---, ---",Sofi Zrazhevska
Monit Czech Open 2024,Women's,01 Nov 2024 • 14:25,Round 2,Karolína Šrámková,Toby Tse,"0-3, 5-11, 8-11, 4-11, ---, ---",Toby Tse
Monit Czech Open 2024,Women's,01 Nov 2024 • 12:00,Round 2,Katerina Tycova,Malak Fathy,"3-1, 11-7, 11-8, 11-13, 11-7, ---",Katerina Tycova
Monit Czech Open 2024,Women's,01 Nov 2024 • 12:45,Round 2,Maya Weishar,Nour Megahed,"0-3, 5-11, 7-11, 6-11, ---, ---",Nour Megahed
Monit Czech Open 2024,Women's,01 Nov 2024 • 18:10,Round 2,Lauren Baltayan,Tamara Holzbauerová,"3-0, 11-2, 11-5, 16-14, ---, ---",Lauren Baltayan
Monit Czech Open 2024,Women's,01 Nov 2024 • 12:45,Round 2,Ambre Allinckx,Ching Hei Fung,"0-3, 2-11, 12-14, 7-11, ---, ---",Ching Hei Fung
Monit Czech Open 2024,Women's,01 Nov 2024 • 18:10,Round 2,Jacqueline Peychär,Michaela Čepová,"3-1, 5-11, 11-7, 11-5, 11-1, ---",Jacqueline Peychär
Monit Czech Open 2024,Women's,01 Nov 2024 • 15:20,Round 2,Lojayn Gohary,Sarah Cardwell,"3-1, 5-11, 13-11, 14-12, 14-12, ---",Lojayn Gohary
Monit Czech Open 2024,Women's,01 Nov 2024 • 12:00,Round 1,Anna Serme,BYE,"---, ---, ---, ---, ---, ---",BYE
Monit Czech Open 2024,Women's,31 Oct 2024 • 12:45,Round 1,Sofi Zrazhevska,Colette Sultana,"3-0, 11-9, 11-8, 11-5, ---, ---",Sofi Zrazhevska
Monit Czech Open 2024,Women's,31 Oct 2024 • 19:05,Round 1,Karolína Šrámková,Riana Alexova,"3-0, 11-3, 11-2, 12-10, ---, ---",Karolína Šrámková
Monit Czech Open 2024,Women's,01 Nov 2024 • 14:25,Round 1,BYE,Toby Tse,"---, ---, ---, ---, ---, ---",Toby Tse
Monit Czech Open 2024,Women's,01 Nov 2024 • 12:00,Round 1,Katerina Tycova,BYE,"---, ---, ---, ---, ---, ---",BYE
Monit Czech Open 2024,Women's,31 Oct 2024 • 14:25,Round 1,Vahbiz Bulsara,Malak Fathy,"0-3, 4-11, 3-11, 2-11, ---, ---",Malak Fathy
Monit Czech Open 2024,Women's,31 Oct 2024 • 12:00,Round 1,Maya Weishar,Sofie Hausknotzová,"3-0, 11-5, 11-6, 11-2, ---, ---",Maya Weishar
Monit Czech Open 2024,Women's,01 Nov 2024 • 12:45,Round 1,BYE,Nour Megahed,"---, ---, ---, ---, ---, ---",Nour Megahed
Monit Czech Open 2024,Women's,01 Nov 2024 • 18:10,Round 1,Lauren Baltayan,BYE,"---, ---, ---, ---, ---, ---",BYE
Monit Czech Open 2024,Women's,31 Oct 2024 • 12:45,Round 1,Mary Mijas,Tamara Holzbauerová,"0-3, 6-11, 5-11, 5-11, ---, ---",Tamara Holzbauerová
Monit Czech Open 2024,Women's,31 Oct 2024 • 12:00,Round 1,Ambre Allinckx,Juliette Permentier,"3-0, 11-1, 11-6, 11-3, ---, ---",Ambre Allinckx
Monit Czech Open 2024,Women's,01 Nov 2024 • 12:45,Round 1,BYE,Ching Hei Fung,"---, ---, ---, ---, ---, ---",Ching Hei Fung
Monit Czech Open 2024,Women's,01 Nov 2024 • 18:10,Round 1,Jacqueline Peychär,BYE,"---, ---, ---, ---, ---, ---",BYE
Monit Czech Open 2024,Women's,31 Oct 2024 • 15:20,Round 1,Tereza Široká,Michaela Čepová,"1-3, 9-11, 4-11, 11-9, 10-12, ---",Michaela Čepová
Monit Czech Open 2024,Women's,31 Oct 2024 • 19:05,Round 1,Lojayn Gohary,Audrey Berling,"3-0, 11-6, 11-2, 11-2, ---, ---",Lojayn Gohary
Monit Czech Open 2024,Women's,01 Nov 2024 • 15:20,Round 1,BYE,Sarah Cardwell,"---, ---, ---, ---, ---, ---",Sarah Cardwell
London Open 2024,Men's,10 Nov 2024 • 16:00,Final,Declan James,Simon Herbert,"3-2, 11-3, 11-7, 6-11, 8-11, 11-4",Declan James
London Open 2024,Men's,09 Nov 2024 • 16:00,Semi final,Declan James,Rui Soares,"3-0, 11-6, 11-5, 11-5, ---, ---",Declan James
London Open 2024,Men's,09 Nov 2024 • 19:00,Semi final,Simon Herbert,Nick Wall,"3-0, 11-5, 11-1, 11-9, ---, ---",Simon Herbert
London Open 2024,Men's,08 Nov 2024 • 15:00,Quarter final,George Parker,Declan James,"1-3, 8-11, 11-4, 13-15, 8-11, ---",Declan James
London Open 2024,Men's,08 Nov 2024 • 17:00,Quarter final,Rui Soares,Patrick Rooney,"3-2, 11-8, 11-7, 5-11, 6-11, 11-5",Rui Soares
London Open 2024,Men's,08 Nov 2024 • 19:00,Quarter final,Rory Stewart,Simon Herbert,"2-3, 5-11, 11-3, 9-11, 11-5, 3-11",Simon Herbert
London Open 2024,Men's,08 Nov 2024 • 21:00,Quarter final,Nick Wall,Auguste Dussourd,"3-1, 2-11, 11-9, 11-1, 11-5, ---",Nick Wall
London Open 2024,Men's,07 Nov 2024 • 14:00,Round 2,George Parker,Sanjay Jeeva,"3-1, 4-11, 11-8, 11-9, 11-4, ---",George Parker
London Open 2024,Men's,07 Nov 2024 • 15:00,Round 2,Moustafa Elsirty,Declan James,"0-3, 5-11, 8-11, 10-12, ---, ---",Declan James
London Open 2024,Men's,07 Nov 2024 • 16:00,Round 2,Rui Soares,Martin Svec,"3-1, 8-11, 11-6, 11-8, 11-3, ---",Rui Soares
London Open 2024,Men's,07 Nov 2024 • 17:00,Round 2,Perry Malik,Patrick Rooney,"1-3, 15-17, 7-11, 11-7, 2-11, ---",Patrick Rooney
London Open 2024,Men's,07 Nov 2024 • 18:00,Round 2,Rory Stewart,Daniel Mekbib,"3-0, 11-5, 13-11, 11-5, ---, ---",Rory Stewart
London Open 2024,Men's,07 Nov 2024 • 19:00,Round 2,Bryan Lim,Simon Herbert,"0-3, 6-11, 9-11, 6-11, ---, ---",Simon Herbert
London Open 2024,Men's,07 Nov 2024 • 20:00,Round 2,Nick Wall,Mazen Gamal,"3-1, 12-10, 11-6, 4-11, 11-8, ---",Nick Wall
London Open 2024,Men's,07 Nov 2024 • 21:00,Round 2,Muhammad Asim Khan,Auguste Dussourd,"2-3, 19-17, 11-6, 7-11, 9-11, 1-11",Auguste Dussourd
London Open 2024,Men's,-,Round 1,George Parker,BYE,"---, ---, ---, ---, ---, ---",BYE
London Open 2024,Men's,06 Nov 2024 • 14:00,Round 1,Aqeel Rehman,Sanjay Jeeva,"0-3, 3-11, 4-11, 3-11, ---, ---",Sanjay Jeeva
London Open 2024,Men's,06 Nov 2024 • 15:00,Round 1,Moustafa Elsirty,Ayaan Vaziralli,"3-0, 11-5, 11-8, 11-2, ---, ---",Moustafa Elsirty
London Open 2024,Men's,-,Round 1,BYE,Declan James,"---, ---, ---, ---, ---, ---",Declan James
London Open 2024,Men's,-,Round 1,Rui Soares,BYE,"---, ---, ---, ---, ---, ---",BYE
London Open 2024,Men's,06 Nov 2024 • 16:00,Round 1,Anthony Rogal,Martin Svec,"2-3, 11-13, 10-12, 11-2, 11-4, 6-11",Martin Svec
London Open 2024,Men's,06 Nov 2024 • 17:00,Round 1,Perry Malik,Mohammad Syafiq Kamal,"3-1, 11-8, 11-13, 11-3, 11-6, ---",Perry Malik
London Open 2024,Men's,-,Round 1,BYE,Patrick Rooney,"---, ---, ---, ---, ---, ---",Patrick Rooney
London Open 2024,Men's,-,Round 1,Rory Stewart,BYE,"---, ---, ---, ---, ---, ---",BYE
London Open 2024,Men's,06 Nov 2024 • 18:00,Round 1,Daniel Mekbib,Lucas Serme,"3-1, 9-11, 11-6, 11-3, 11-8, ---",Daniel Mekbib
London Open 2024,Men's,06 Nov 2024 • 19:00,Round 1,Yannik Omlor,Bryan Lim,"0-3, 10-12, 6-11, 8-11, ---, ---",Bryan Lim
London Open 2024,Men's,-,Round 1,BYE,Simon Herbert,"---, ---, ---, ---, ---, ---",Simon Herbert
London Open 2024,Men's,-,Round 1,Nick Wall,BYE,"---, ---, ---, ---, ---, ---",BYE
London Open 2024,Men's,06 Nov 2024 • 20:00,Round 1,Stuart MacGregor,Mazen Gamal,"1-3, 11-8, 5-11, 7-11, 8-11, ---",Mazen Gamal
London Open 2024,Men's,06 Nov 2024 • 21:00,Round 1,Muhammad Asim Khan,Temwa Chileshe,"3-0, 11-9, 11-6, 17-15, ---, ---",Muhammad Asim Khan
London Open 2024,Men's,-,Round 1,BYE,Auguste Dussourd,"---, ---, ---, ---, ---, ---",Auguste Dussourd
London Open 2024,Women's,10 Nov 2024 • 15:00,Final,Millie Tomlinson,Nardine Garas,"0-3, 7-11, 5-11, 8-11, ---, ---",Nardine Garas
London Open 2024,Women's,09 Nov 2024 • 15:00,Semi final,Millie Tomlinson,Hana Ismail,"3-2, 7-11, 11-5, 8-11, 11-6, 11-5",Millie Tomlinson
London Open 2024,Women's,09 Nov 2024 • 18:00,Semi final,Nardine Garas,Kiera Marshall,"3-1, 11-7, 11-3, 9-11, 11-6, ---",Nardine Garas
London Open 2024,Women's,08 Nov 2024 • 14:00,Quarter final,Millie Tomlinson,Jacqueline Peychär,"3-0, 11-3, 11-3, 11-5, ---, ---",Millie Tomlinson
London Open 2024,Women's,08 Nov 2024 • 16:00,Quarter final,Asia Harris,Hana Ismail,"0-3, 6-11, 6-11, 9-11, ---, ---",Hana Ismail
London Open 2024,Women's,08 Nov 2024 • 18:00,Quarter final,Nardine Garas,Lowri Roberts,"3-0, 11-8, 11-7, 11-8, ---, ---",Nardine Garas
London Open 2024,Women's,08 Nov 2024 • 20:00,Quarter final,Sarahi Lopez,Kiera Marshall,"1-3, 9-11, 11-13, 11-3, 7-11, ---",Kiera Marshall
London Open 2024,Women's,07 Nov 2024 • 14:00,Round 2,Millie Tomlinson,Tanvi Khanna,"3-2, 12-10, 11-6, 6-11, 6-11, 14-12",Millie Tomlinson
London Open 2024,Women's,07 Nov 2024 • 15:00,Round 2,Jacqueline Peychär,Sarah Cardwell,"3-0, 12-10, 12-10, 11-3, ---, ---",Jacqueline Peychär
London Open 2024,Women's,07 Nov 2024 • 16:00,Round 2,Asia Harris,Margot Prow,"3-2, 5-11, 11-7, 7-11, 11-8, 11-8",Asia Harris
London Open 2024,Women's,07 Nov 2024 • 17:00,Round 2,Hana Ismail,Cristina Gomez,"3-0, 11-4, 11-5, 11-7, ---, ---",Hana Ismail
London Open 2024,Women's,07 Nov 2024 • 18:00,Round 2,Nardine Garas,Michaela Čepová,"3-0, 11-4, 11-2, 11-6, ---, ---",Nardine Garas
