Player,Image,Country,URL,DOB,Birthplace,Racket,Height (cm),
Mohamed Nasser,https://cdn.filestackcontent.com/Y3SibYT5q7phj2T7DIvg,Egypt,https://www.psasquashtour.com/player/mohamed-nasser/,2003-11-04,"Cairo, Egypt",Tecnifibre,184,
Mohamed Nawar,https://cdn.filepicker.io/u6QDfwgESaWBfH9780mA,Egypt,https://www.psasquashtour.com/player/mohamed-nawar/,1991-07-23,"Alexandria, Egypt",,172,
Mohamed Sharaf,https://cdn.filepicker.io/kCN3PImSbi7FtRcEpmF3,Egypt,https://www.psasquashtour.com/player/mohamed-sharaf/,2001-11-07,"Cairo, Egypt",Dunlop,187,
Mohammad Syafiq Kamal,https://cdn.filepicker.io/CFEC8DaCS1jIupCb7KXv,Malaysia,https://www.psasquashtour.com/player/mohammad-syafiq-kamal/,1996-08-01,"Kota Bharu, Malaysia",Head,177,
Mostafa Asal,https://www.psasquashtour.com/wp-content/uploads/2023/11/T2r7WYXC-1024x1024.png,Egypt,https://www.psasquashtour.com/player/mostafa-asal/,2001-05-09,"Cairo, Egypt",Tecnifibre,189,
Moustafa Elsirty,https://cdn.filestackcontent.com/qRwotz4IQ9e0cKsooAPw,Egypt,https://www.psasquashtour.com/player/moustafa-elsirty/,2001-10-25,"Cairo, Egypt",Head,191,
Muhammad Ashab Irfan,https://cdn.filepicker.io/vG1wRVrQSaUnlUXa5CCg,Pakistan,https://www.psasquashtour.com/player/muhammad-ashab-irfan/,2004-06-12,"Lahore, Pakistan",Stellar,169,
Muhammad Asim Khan,https://www.psasquashtour.com/wp-content/uploads/2024/08/14-1-1024x1024.png,Pakistan,https://www.psasquashtour.com/player/muhammad-asim-khan/,1996-10-29,"Lahore, Pakistan",Head,183,
Nasir Iqbal,https://cdn.filepicker.io/0BPd3UjlRfVXmbGJbTIF,Pakistan,https://www.psasquashtour.com/player/nasir-iqbal/,1994-04-01,"Bannu, Pakistan",Dunlop,179,
Nathan Lake,https://www.psasquashtour.com/wp-content/uploads/2023/11/nathan-lake-copy-1024x1024.png,England,https://www.psasquashtour.com/player/nathan-lake/,1992-07-03,"Cheltenham, England",ProKennex,188,
Nicholas Spizzirri,https://cdn.filepicker.io/CU4AFo8cSSGDTuXwrFzu,,https://www.psasquashtour.com/player/nicholas-spizzirri/,2001-12-23,,,193,
Nick Matthew,https://www.psasquashtour.com/wp-content/uploads/2023/12/nick-matthew-copy-1024x1024.png,England,https://www.psasquashtour.com/player/nick-matthew/,1980-07-25,"Sheffield, England",Dunlop,183,
Nick Wall,https://www.psasquashtour.com/wp-content/uploads/2024/08/2-1-1024x1024.png,England,https://www.psasquashtour.com/player/nick-wall/,2000-02-24,"Sheffield, England",Unsquashable,186,
Nicolas Mueller,https://www.psasquashtour.com/wp-content/uploads/2023/11/fPMVZq7g.png,Switzerland,https://www.psasquashtour.com/player/nicolas-mueller/,1989-08-24,"Wintherthur ZH, Switzerland",Wilson,189,
Noah Meredith,https://cdn.filepicker.io/9EfMr3xQuyYy4pHdlDCW,England,https://www.psasquashtour.com/player/noah-meredith/,2001-07-26,"Brighton, England",Victor,178,
Noor Zaman,https://www.psasquashtour.com/wp-content/uploads/2024/08/17-1-1024x1024.png,Pakistan,https://www.psasquashtour.com/player/noor-zaman/,2004-04-01,"Peshawar, Pakistan",Dunlop,185,
Oliver Dunbar,https://cdn.filepicker.io/NGY1kqG3SuSdNFftBBKU,New Zealand,https://www.psasquashtour.com/player/oliver-dunbar/,2006-09-18,"Wellington, New Zealand",Tecnifibre,180,
Om Semwal,https://cdn.filepicker.io/abZ8BWZVQaaLTSP4u0MM,India,https://www.psasquashtour.com/player/om-semwal/,2004-02-21,"Mumbai, India",Head,180,
Omar Mosaad,https://www.psasquashtour.com/wp-content/uploads/2023/11/naw8AXMw-1024x1024.png,Egypt,https://www.psasquashtour.com/player/omar-mosaad/,1988-03-17,"Cairo, Egypt",Tecnifibre,193,
Omar Said,https://cdn.filepicker.io/mHL5QuCTvSt61UJ7QdWa,Egypt,https://www.psasquashtour.com/player/omar-said/,2004-09-25,"Alexandria, Egypt",Tecnifibre,173,
Ondrej Vorlicek,https://cdn.filestackcontent.com/dfrMPGRnQ4uH04sYLXul,Czech Republic,https://www.psasquashtour.com/player/ondrej-vorlicek/,2000-03-03,"Teplice, Czech Republic",Dunlop,185,
Ong Sai Hung,https://cdn.filepicker.io/AVBr1QQDQvSZOkS5dhHa,Malaysia,https://www.psasquashtour.com/player/ong-sai-hung/,1999-02-21,"Perlis, Malaysia",,174,
Owain Taylor,https://cdn.filestackcontent.com/KL9aXJLFRj2YLaGAZDuY,Wales,https://www.psasquashtour.com/player/owain-taylor/,1996-01-18,"Colchester, England",Unsquashable,191,
Patrick Rooney,https://www.psasquashtour.com/wp-content/uploads/2023/12/patrick-rooney-copy-1-1024x1024.png,England,https://www.psasquashtour.com/player/patrick-rooney/,1997-06-16,"St. Helens, England",305 Squash,185,
Paul Coll,https://www.psasquashtour.com/wp-content/uploads/2023/10/paul-coll-copy-1024x1024.png,New Zealand,https://www.psasquashtour.com/player/paul-coll/,1992-05-09,"Greymouth, New Zealand",Head,179,
Pedro Mometto,https://cdn.filepicker.io/OJgolmTaSKEpwxolpIkS,Brazil,https://www.psasquashtour.com/player/pedro-mometto/,1990-10-08,"Joinville, Brazil",Tecnifibre,173,
Perry Malik,https://cdn.filestackcontent.com/FhFtI8gThem3D344wuUQ,England,https://www.psasquashtour.com/player/perry-malik/,2001-06-13,"East Surrey, England",Mantis,180,
Ramit Tandon,https://www.psasquashtour.com/wp-content/uploads/2024/02/ramit-tandon-copy-1024x1024.png,India,https://www.psasquashtour.com/player/ramit-tandon/,1992-08-21,"Kolkata, India",Tecnifibre,178,
Ramy Ashour,https://dd34e8y1ttmkb.cloudfront.net/images/players/headshots/ramy-ashour.png,Egypt,https://www.psasquashtour.com/player/ramy-ashour/,1987-09-30,"Cairo, Egypt",Prince,180,
Raphael Kandra,https://www.psasquashtour.com/wp-content/uploads/2023/12/Raphael-Kandra-copy-1024x1024.png,Germany,https://www.psasquashtour.com/player/raphael-kandra/,1990-10-29,"Fuerth, Germany",Victor,181,
Ravindu Laksiri,https://cdn.filepicker.io/NYMCIEsoRKyUt1xfNGqP,Sri Lanka,https://www.psasquashtour.com/player/ravindu-laksiri/,1996-03-28,"Colombo, Sri Lanka",Head,181,
Rhys Dowling,https://cdn.filepicker.io/NOyjSra8QzOlUr0XeW76,Australia,https://www.psasquashtour.com/player/rhys-dowling/,1995-03-25,"Darwin, Australia",Inform,179,
Rhys Evans,https://cdn.filepicker.io/auPdwjFJRlSBkgiV1kGy,Wales,https://www.psasquashtour.com/player/rhys-evans/,2004-02-23,"Aberystwyth, Wales",,175,
Robert Downer,https://cdn.filepicker.io/tvNcdqNFRkuynI2aibDz,England,https://www.psasquashtour.com/player/robert-downer/,1992-03-24,"Portsmouth, England",Tecnifibre,183,
Robin Gadola,https://cdn.filepicker.io/JMrIbNRXTyq472GKTDCa,Switzerland,https://www.psasquashtour.com/player/robin-gadola/,1994-10-07,"Uster, Switzerland",Harrow,191,
Ronald Palomino,https://cdn.filestackcontent.com/HXYRiny4QoSYVqqLP174,Colombia,https://www.psasquashtour.com/player/ronald-palomino/,1998-12-20,"Cali, Colombia",Unsquashable,190,
Rory Stewart,https://www.psasquashtour.com/wp-content/uploads/2024/08/6-1-1024x1024.png,Scotland,https://www.psasquashtour.com/player/rory-stewart/,1996-07-19,"Perth, Scotland",Unsquashable,194,
Rowan Damming,https://cdn.filestackcontent.com/wrenHuiiTcN1sdWOrwjQ,Netherlands,https://www.psasquashtour.com/player/rowan-damming/,2004-09-05,"s-Hertogenbosch, Netherlands",Dunlop,184,
Rui Soares,https://cdn.filestackcontent.com/VzpkarUtQGi3yob8IDip,Portugal,https://www.psasquashtour.com/player/rui-soares/,1993-10-05,"Porto, Portugal",Head,190,
Ryan Cuskelly,https://d3sitlfrz6piv5.cloudfront.net/eyJidWNrZXQiOiJwc2Etb21ha2lzb2Z0Iiwia2V5IjoiaW1hZ2VzL3BsYXllcnMvMTA0OS5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjEwMDAsImhlaWdodCI6MTAwMCwiZml0IjoiY29udGFpbiJ9LCJzbWFydENyb3AiOnsicGFkZGluZyI6NTB9fX0=,Australia,https://www.psasquashtour.com/player/ryan-cuskelly/,1987-07-15,"Evans Head, Australia",,179,
Ryunosuke Tsukue,https://www.psasquashtour.com/wp-content/uploads/2024/02/ryunosuke-tsukue-copy-1024x1024.png,Japan,https://www.psasquashtour.com/player/ryunosuke-tsukue/,1997-08-13,"Yokohama, Japan",Dunlop,177,
Salah Eltorgman,https://cdn.filepicker.io/IZoDi0CHRO2L6A7MPL0g,Canada,https://www.psasquashtour.com/player/salah-eltorgman/,2002-10-30,"Cairo, Egypt",Dunlop,193,
Salem Al-Malki,https://cdn.filepicker.io/suFlhAPTT2eLogjbNeFg,Qatar,https://www.psasquashtour.com/player/salem-al-malki/,2005-04-05,"Doha, Qatar",,178,
Salim Khan,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fgwsports.com%2Fimages%2F2021%2F2%2F4%2FKhan.jpg&width=180&height=270&type=webp,United States,https://www.psasquashtour.com/player/salim-khan/,1998-12-29,"Bellevue, United States",,185,
Salman Khalil,https://cdn.filepicker.io/7ZGwwBNGTUuUTri9hb9I,Egypt,https://www.psasquashtour.com/player/salman-khalil/,2005-06-14,"Cairo, Egypt",Tecnifibre,177,
Sam Buckley,https://cdn.filepicker.io/Sy4rYpMSG6bETAIs1zJO,Ireland,https://www.psasquashtour.com/player/sam-buckley/,2001-06-22,"Dublin, Ireland",Dunlop,190,
Sam Todd,https://cdn.filestackcontent.com/MRy37AhBSHOil0Q9QbXn,England,https://www.psasquashtour.com/player/sam-todd/,2003-03-21,"Pontefract, England",Dunlop,193,
Samuel Osborne - Wylde,https://cdn.filestackcontent.com/VVt0Hi3KSLaaa4jeidtA,England,https://www.psasquashtour.com/player/samuel-osborne---wylde/,2004-01-16,"Birmingham, England",Dunlop,175,
Sanjay Jeeva,https://cdn.filepicker.io/hvV7qMaQomTDSgDPCC91,Malaysia,https://www.psasquashtour.com/player/sanjay-jeeva/,1999-07-03,"Kuala Lumpur, Malaysia",Tecnifibre,173,
Saurav Ghosal,https://www.psasquashtour.com/wp-content/uploads/2023/11/6XEF1q2w-1024x1024.png,India,https://www.psasquashtour.com/player/saurav-ghosal/,1987-08-10,"Kolkata, India",Head,167,
Sebastiaan Hofman,https://cdn.filestackcontent.com/jOuNHcWDTUSZzcYs3dAh,Netherlands,https://www.psasquashtour.com/player/sebastiaan-hofman/,2003-03-20,"Almere, Netherlands",Tecnifibre,192,
Sebastian Salazar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTswexkLGztaKuChSWJcJ-ezxGtNRdddgZcXA&s,Mexico,https://www.psasquashtour.com/player/sebastian-salazar/,,"Jalisco, Mexico",,173,
Sebastien Bonmalais,https://www.psasquashtour.com/wp-content/uploads/2023/11/sebastian-bonmalais-copy-1024x1024.png,France,https://www.psasquashtour.com/player/sebastien-bonmalais/,1998-02-06,"Saint Pierre la reunion, France",,178,
Seif El-Shenawy,https://cdn.filepicker.io/TmCvSr4NRciVuYcvscDV,Egypt,https://www.psasquashtour.com/player/seif-el-shenawy/,2001-09-09,"Cairo, Egypt",Tecnifibre,188,
Seif Tamer,https://cdn.filepicker.io/2rztS0jiQ2WuE2cS0AJ4,Egypt,https://www.psasquashtour.com/player/seif-tamer/,2004-02-07,"Giza, Egypt",,195,
Shady Sherbiny,https://cdn.filepicker.io/FdWHnDggQiSUYMtDfzQi,Egypt,https://www.psasquashtour.com/player/shady-sherbiny/,1999-07-22,"Riyadh, Saudi Arabia",,178,
Shahjahan Khan,https://www.psasquashtour.com/wp-content/uploads/2023/12/shahjahan-kahn-copy-1-1024x1024.png,United States,https://www.psasquashtour.com/player/shahjahan-khan/,1995-03-05,"Quetta, Pakistan",Tecnifibre,167,
Shing Fung Lam,https://cdn.filestackcontent.com/lfhRIS9nSZ2p7tsgYEa4,Hong Kong,https://www.psasquashtour.com/player/shing-fung-lam/,2002-05-05,"Hong Kong, Hong Kong",,175,
Simon Herbert,https://www.psasquashtour.com/wp-content/uploads/2024/02/simon-herbert-copy-1024x1024.png,England,https://www.psasquashtour.com/player/simon-herbert/,2001-08-26,"Leicester, England",Dunlop,181,
Simon Rosner,https://www.squashinfo.com/img/players/SimonRosner_Jul17a.jpg,Germany,https://www.psasquashtour.com/player/simon-rosner/,1987-11-05,"Wurzburg, Germany",Oliver,190,
Spencer Lovejoy,https://cdn.filestackcontent.com/jVdMFjQbRx2AvF06evEY,United States,https://www.psasquashtour.com/player/spencer-lovejoy/,1998-05-14,"Stamford, United States",Dunlop,176,
Stephen Coppinger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnH4n9JxYbNV3s1fJPr9_BhS0uQZ1-Do8qJA&s,South Africa,https://www.psasquashtour.com/player/stephen-coppinger/,1984-09-24,"Dublin, Ireland",Salming,190,
Stuart MacGregor,https://cdn.filestackcontent.com/F0CWYrkDTEiBTR4P9NS2,England,https://www.psasquashtour.com/player/stuart-macgregor/,1998-06-26,"York, England",Prince,182,
Suraj Kumar Chand,https://cdn.filepicker.io/BT1Tuiz2S8uGKe2KYEY3,India,https://www.psasquashtour.com/player/suraj-kumar-chand/,2001-04-19,"Kalyan, Mumbai, India",,165,
Tarek Momen,https://www.psasquashtour.com/wp-content/uploads/2024/02/tarek-momen-copy-1024x1024.png,Egypt,https://www.psasquashtour.com/player/tarek-momen/,1988-02-23,"Cairo, Egypt",Head,174,
Taylor Carrick,https://cdn.filepicker.io/bMl7ENvRUKCMbgegwNsQ,Bermuda,https://www.psasquashtour.com/player/taylor-carrick/,2001-11-24,"Hamilton, Bermuda",,183,
Temwa Chileshe,https://cdn.filepicker.io/gkIQz9QTRFe1XcC4Nef0,New Zealand,https://www.psasquashtour.com/player/temwa-chileshe/,2000-08-02,"Christchurch, New Zealand",Stellar,185,
Timothy Brownell,https://www.psasquashtour.com/wp-content/uploads/2024/08/1-1-1024x1024.png,United States,https://www.psasquashtour.com/player/timothy-brownell/,1997-07-12,"Lebanon, United States",Harrow,183,
Tom Richards,https://dd34e8y1ttmkb.cloudfront.net/images/players/headshots/tom-richards.png,England,https://www.psasquashtour.com/player/tom-richards/,1986-07-10,"Guildford, England",Karakal,183,
Tom Walsh,https://www.psasquashtour.com/wp-content/uploads/2024/08/12-1-1024x1024.png,England,https://www.psasquashtour.com/player/tom-walsh/,1999-04-27,"Hemel Hempstead, England",Tecnifibre,185,
Tomo Endo,https://cdn.filestackcontent.com/Pe29hIQR5etxc5QPnklm,Japan,https://www.psasquashtour.com/player/tomo-endo/,1995-01-28,"Brisbane, Australia",Tecnifibre,186,
Toufik Mekhalfi,https://cdn.filepicker.io/fA1HFI6dS7Gr3OxV5B4B,France,https://www.psasquashtour.com/player/toufik-mekhalfi/,2002-01-30,"Toulouse, France",Tecnifibre,171,
Veer Chotrani,https://cdn.filestackcontent.com/6CzqEWfSQuf5SnjRqFi5,India,https://www.psasquashtour.com/player/veer-chotrani/,2001-10-25,"Mumbai, India",Ashaway,178,
Velavan Senthilkumar,https://www.psasquashtour.com/wp-content/uploads/2024/02/velavan-senthilkumar-copy-1024x1024.png,India,https://www.psasquashtour.com/player/velavan-senthilkumar/,1998-03-26,"Salem, India",,178,
Victor Crouin,https://www.psasquashtour.com/wp-content/uploads/2024/04/9iBqukHV.png,France,https://www.psasquashtour.com/player/victor-crouin/,1999-06-16,"Marseille, France",Dunlop,170,
Viktor Byrtus,https://cdn.filepicker.io/PzWLlsViS3ubU0rRKOcP,Czech Republic,https://www.psasquashtour.com/player/viktor-byrtus/,2001-02-17,"Trinec, Czech Republic",Tecnifibre,189,
Wailok To,https://cdn.filepicker.io/GdzZNBboTT6sLXS831hH,Hong Kong,https://www.psasquashtour.com/player/wailok-to/,2001-10-11,"Hong Kong, Hong Kong",Dunlop,181,
Yahya Elnawasany,https://cdn.filestackcontent.com/YipcfRLXSzmTAcDwzd2O,Egypt,https://www.psasquashtour.com/player/yahya-elnawasany/,2002-01-09,"Tanta, Egypt",Head,178,
Yannick Wilhelmi,https://www.psasquashtour.com/wp-content/uploads/2024/08/7-1-1024x1024.png,Switzerland,https://www.psasquashtour.com/player/yannick-wilhelmi/,2000-10-12,"Grabs, Switzerland",Unsquashable,190,
Yannik Omlor,https://cdn.filestackcontent.com/ZB72cC5cQkWlgZugrQvj,Germany,https://www.psasquashtour.com/player/yannik-omlor/,1996-09-03,"Hanau, Germany",Oliver,178,
Yassin Elshafei,https://cdn.filestackcontent.com/eMq4xvsQj6SGhWbn2JZh,Egypt,https://www.psasquashtour.com/player/yassin-elshafei/,2001-06-16,"Cairo, Egypt",Dunlop,185,
Yassin Shohdy,https://cdn.filestackcontent.com/VNxDxHfvRdek2komJUBn,Egypt,https://www.psasquashtour.com/player/yassin-shohdy/,2005-01-10,"Cairo, Egypt",Head,172,
Yee Xian Siow,https://cdn.filestackcontent.com/wqLiHSLtTDGEJHYJZIXs,Malaysia,https://www.psasquashtour.com/player/yee-xian-siow/,2000-10-03,,,183,
Yehia Essam,https://cdn.filepicker.io/kIbCiKFoRYKGq0jdgebo,Egypt,https://www.psasquashtour.com/player/yehia-essam/,1997-09-29,"Cairo, Egypt",Tecnifibre,174,
Youssef Ibrahim,https://www.psasquashtour.com/wp-content/uploads/2023/11/ACc0758f-1024x1024.png,Egypt,https://www.psasquashtour.com/player/youssef-ibrahim/,1999-03-02,"Cairo, Egypt",Harrow,177,
Youssef Soliman,https://www.psasquashtour.com/wp-content/uploads/2023/11/NyIrhZg-1024x1024.png,Egypt,https://www.psasquashtour.com/player/youssef-soliman/,1997-01-10,"Cairo, Egypt",Tecnifibre,176,
Zahed Salem,https://cdn.filepicker.io/Sqi1fOHNThWsdnN6u3XQ,Egypt,https://www.psasquashtour.com/player/zahed-salem/,1992-06-24,"Alexandria, Egypt",Head,175,
Ziad Ibrahim,https://cdn.filepicker.io/Qf8je0sTb2mCQdZ7nwrU,Egypt,https://www.psasquashtour.com/player/ziad-ibrahim/,2001-07-04,"Cairo, Egypt",,186,
